species	sample_1	sample_2	number_of_changes	opportunities	change_rate	mouse_1	mouse_2	cage_1	cage_2	location_1	location_2	orientation	coarse_location_1	coarse_location_2	taxonomic_assignment
205567	Cec_2_1	Ile_3_3	1	163492.0	6.1165072297115455e-06	1	3	2	3	Cecum	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_2_2	Col_3_3	1	164253.0	6.0881688614515414e-06	2	3	2	3	Colon	Colon	Between host	Large intestine	Large intestine	Ligilactobacillus murinu
209914	Cec_1_2	Col_2_3	1	61067.0	1.6375456465848987e-05	2	3	1	2	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_1_2	Col_3_1	1	61034.0	1.638431038437592e-05	2	1	1	3	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
205567	Cec_2_3	Col_3_3	1	164010.0	6.097189195780745e-06	3	3	2	3	Cecum	Colon	Between host	Large intestine	Large intestine	Ligilactobacillus murinu
205567	Col_1_3	Col_3_3	1	163970.0	6.098676587180582e-06	3	3	1	3	Colon	Colon	Between host	Large intestine	Large intestine	Ligilactobacillus murinu
205567	Cec_2_1	Col_3_3	1	164037.0	6.096185616659656e-06	1	3	2	3	Cecum	Colon	Between host	Large intestine	Large intestine	Ligilactobacillus murinu
259253	Cec_1_1	Cec_2_1	1	55799.0	1.7921468126668936e-05	1	1	1	2	Cecum	Cecum	Between host	Large intestine	Large intestine	g__UBA9475 (259253)
205567	Col_2_3	Jej_3_3	1	162144.0	6.167357410696665e-06	3	3	2	3	Colon	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_3_3	Jej_2_1	1	164269.0	6.087575866414235e-06	3	1	3	2	Colon	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Cec_1_3	Ile_3_3	1	163367.0	6.121187265482013e-06	3	3	1	3	Cecum	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_3_3	Jej_1_2	1	163752.0	6.10679564219063e-06	3	2	3	1	Colon	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Cec_2_3	Ile_3_3	1	163531.0	6.11504852291003e-06	3	3	2	3	Cecum	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_1_3	Ile_3_3	1	163463.0	6.1175923603506605e-06	3	3	1	3	Colon	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
209914	Cec_1_2	Cec_2_3	1	61097.0	1.6367415748727435e-05	2	3	1	2	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
205567	Cec_1_3	Col_3_3	1	163977.0	6.098416241302134e-06	3	3	1	3	Cecum	Colon	Between host	Large intestine	Large intestine	Ligilactobacillus murinu
209914	Cec_1_2	Cec_3_1	1	61057.0	1.6378138460782548e-05	2	1	1	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_1_3	Cec_3_1	1	61133.0	1.6357777305219766e-05	3	1	1	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
205567	Cec_2_3	Jej_3_3	1	162258.0	6.1630243192939636e-06	3	3	2	3	Cecum	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
209914	Cec_1_2	Cec_3_2	1	60956.0	1.6405275936741257e-05	2	2	1	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_1_1	Col_3_1	1	61188.0	1.6343073805321303e-05	1	1	1	3	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_1_1	Col_2_3	1	61200.0	1.6339869281045753e-05	1	3	1	2	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
205567	Cec_1_2	Jej_3_3	1	161922.0	6.175813045787478e-06	2	3	1	3	Cecum	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_3_3	Ile_1_1	1	163957.0	6.099160145647944e-06	3	1	3	1	Colon	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_3_3	Ile_1_2	1	163737.0	6.107355087732156e-06	3	2	3	1	Colon	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_3_3	Ile_1_3	1	163832.0	6.103813662776503e-06	3	3	3	1	Colon	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_3_3	Ile_2_1	1	164321.0	6.0856494300789305e-06	3	1	3	2	Colon	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_3_3	Ile_2_2	1	164073.0	6.094848024964497e-06	3	2	3	2	Colon	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_3_3	Ile_2_3	1	164051.0	6.095665372353719e-06	3	3	3	2	Colon	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
261649	Cec_3_1	Col_1_1	1	99194.0	1.008125491461177e-05	1	1	3	1	Cecum	Colon	Between host	Large intestine	Large intestine	f__UBA3700
205567	Cec_1_2	Ile_3_3	1	163298.0	6.123773714313709e-06	2	3	1	3	Cecum	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_2_3	Ile_3_3	1	163582.0	6.113142032741989e-06	3	3	2	3	Colon	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_2_1	Jej_3_3	1	162197.0	6.165342145662374e-06	1	3	2	3	Colon	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_1_3	Jej_3_3	1	162020.0	6.172077521293668e-06	3	3	1	3	Colon	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
209914	Cec_1_3	Cec_2_3	1	61222.0	1.6333997582568358e-05	3	3	1	2	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
205567	Cec_2_2	Col_3_3	1	164043.0	6.095962643940918e-06	2	3	2	3	Cecum	Colon	Between host	Large intestine	Large intestine	Ligilactobacillus murinu
209914	Cec_1_3	Cec_3_2	1	61109.0	1.6364201672421413e-05	3	2	1	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
261649	Cec_3_1	Col_3_3	1	99027.0	1.0098256031183415e-05	1	3	3	3	Cecum	Colon	Between host	Large intestine	Large intestine	f__UBA3700
266763	Cec_2_3	Col_3_1	1	84031.0	1.1900370101510156e-05	3	1	2	3	Cecum	Colon	Between host	Large intestine	Large intestine	g__Eubacterium_F
209914	Cec_3_2	Col_1_3	1	61078.0	1.6372507285765744e-05	2	3	3	1	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
205567	Col_1_1	Ile_3_3	1	163686.0	6.109257969527021e-06	1	3	1	3	Colon	Ileum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
209914	Cec_3_2	Col_1_2	1	61044.0	1.6381626367865803e-05	2	2	3	1	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
205567	Ile_1_2	Jej_3_3	1	161723.0	6.183412377954898e-06	2	3	1	3	Ileum	Jejunum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
204195	Cec_1_3	Cec_2_1	1	18398.0	5.4353734101532776e-05	3	1	1	2	Cecum	Cecum	Between host	Large intestine	Large intestine	g__CAG-303
209914	Cec_3_1	Col_2_3	1	61222.0	1.6333997582568358e-05	1	3	3	2	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
205567	Ile_3_3	Jej_1_2	1	163271.0	6.124786398074367e-06	3	2	3	1	Ileum	Jejunum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
204195	Cec_1_3	Cec_3_3	1	18955.0	5.2756528620416775e-05	3	3	1	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__CAG-303
204195	Cec_1_3	Col_2_1	1	18427.0	5.426819341184132e-05	3	1	1	2	Cecum	Colon	Between host	Large intestine	Large intestine	g__CAG-303
209914	Cec_3_1	Col_2_1	1	61102.0	1.636607639684462e-05	1	1	3	2	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
205567	Cec_1_1	Jej_3_3	1	162044.0	6.171163387721853e-06	1	3	1	3	Cecum	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_2_3	Col_3_3	1	164075.0	6.094773731525217e-06	3	3	2	3	Colon	Colon	Between host	Large intestine	Large intestine	Ligilactobacillus murinu
205567	Col_1_1	Jej_3_3	1	162312.0	6.160973926758342e-06	1	3	1	3	Colon	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Ile_1_3	Ile_3_3	1	163254.0	6.125424185624854e-06	3	3	1	3	Ileum	Ileum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
205567	Ile_2_3	Jej_3_3	1	162069.0	6.170211453146499e-06	3	3	2	3	Ileum	Jejunum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
205567	Ile_1_3	Jej_3_3	1	162014.0	6.172306097003963e-06	3	3	1	3	Ileum	Jejunum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
205567	Col_2_2	Jej_3_3	1	162123.0	6.168156276407419e-06	2	3	2	3	Colon	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_1_1	Col_3_3	1	164271.0	6.087501750156753e-06	1	3	1	3	Colon	Colon	Between host	Large intestine	Large intestine	Ligilactobacillus murinu
266763	Cec_3_2	Col_3_1	1	83879.0	1.1921935168516554e-05	2	1	3	3	Cecum	Colon	Between host	Large intestine	Large intestine	g__Eubacterium_F
205567	Ile_2_1	Ile_3_3	1	163733.0	6.107504290521764e-06	1	3	2	3	Ileum	Ileum	Between host	Small intestine	Small intestine	Ligilactobacillus murinu
