genome	species_id	representative	genome_is_representative	species	taxonomy	ANI circumscription radius	Mean intra-species ANI	Min intra-species ANI	Mean intra-species AF	Min intra-species AF	No. clustered genomes
MGBC162740	262740	MGBC162740	1	s__Helicobacter_D apodemus	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D;s__Helicobacter_D apodemus						26
MGBC162742	262742	MGBC162742	1	g__Brachyspira	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__						5
MGBC162746	262746	MGBC162746	1	g__Lactobacillus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__						7
MGBC162798	262798	MGBC162798	1	s__UBA1820 sp003150615	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA1820;g__UBA1820;s__UBA1820 sp003150615						1
MGBC162806	262806	MGBC162806	1	g__Prevotellamassilia	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__						13
MGBC162808	262808	MGBC162808	1	s__CAG-873 sp003979155	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp003979155						53
MGBC162824	262824	MGBC162824	1	g__UBA11940	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__						2
MGBC162829	262829	MGBC162829	1	f__Borkfalkiaceae	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__						1
MGBC162832	262832	MGBC162832	1	f__CAG-552	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__						1
MGBC162833	262833	MGBC162833	1	g__UMGS1004	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__						4
MGBC162871	262871	MGBC162871	1	g__UBA9475	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__						4
MGBC162876	262876	MGBC162876	1	f__CAG-552	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__						21
MGBC162888	262888	MGBC162888	1	f__UBA11393	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__UBA11393;g__;s__						2
MGBC162917	262917	MGBC162917	1	g__Acutalibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__						1
MGBC162921	262921	MGBC162921	1	g__Kineothrix	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__						73
MGBC162943	262943	MGBC162943	1	g__UMGS1004	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__						6
MGBC162966	262966	MGBC162966	1	g__Odoribacter	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__						57
MGBC162980	262980	MGBC162980	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						3
MGBC163016	263016	MGBC163016	1	g__D16-63	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__D16-63;s__						2
