sample_type,date,time,sample,freq,species,strain,subject,tissue,quantile_25,quantile_75,upper_ci,lower_ci,sample_type_number
Capsule,2020-06-27,06:55:00,SRR18585027,0.968502284035441,Alistipes_shahii_62199,1,1,Small intestine 3,0.9473684210526316,1.0,0.976801711092798,0.9593337341847036,Capsule 3
Capsule,2020-06-30,06:30:00,SRR18585206,0.9555504218117,Alistipes_shahii_62199,1,1,Small intestine 3,0.9285714285714286,1.0,0.9694349232616108,0.9401980831397858,Capsule 3
Capsule,2020-07-01,06:30:00,SRR18585176,0.9981090491763864,Alistipes_shahii_62199,1,1,Small intestine 2,1.0,1.0,1.0,0.9946978881987576,Capsule 2
Capsule,2020-07-01,06:30:00,SRR18585187,0.9842849486634448,Alistipes_shahii_62199,1,1,Small intestine 2,1.0,1.0,0.9908480627617338,0.9769174174322632,Capsule 2
Capsule,2020-07-02,07:30:00,SRR18584973,0.969037495362766,Alistipes_shahii_62199,1,1,Ascending colon,0.95,1.0,0.9762568919539228,0.960546130976826,Capsule 4
Capsule,2020-07-02,07:30:00,SRR18585119,0.978045132156293,Alistipes_shahii_62199,1,1,Ascending colon,0.9655172413793104,1.0,0.9853068033388452,0.9691852184220002,Capsule 4
Capsule,2020-07-02,07:30:00,SRR18585264,0.9729527985170208,Alistipes_shahii_62199,1,1,Ascending colon,1.0,1.0,0.9853037465564184,0.9580842226409048,Capsule 4
Capsule,2020-08-12,06:55:00,SRR18585092,0.9729604003600794,Alistipes_shahii_62199,1,1,Small intestine 3,1.0,1.0,0.9863384315289114,0.9546490895827656,Capsule 3
Capsule,2020-08-12,06:55:00,SRR18585095,0.9619755335105892,Alistipes_shahii_62199,1,1,Small intestine 3,1.0,1.0,0.9799414375658444,0.9420786315516474,Capsule 3
Capsule,2020-08-13,23:30:00,SRR18585087,0.917921304632259,Alistipes_shahii_62199,1,1,Small intestine 2,0.8823529411764706,1.0,0.9416473019723244,0.8917879133141856,Capsule 2
Capsule,2020-08-14,06:50:00,SRR18585088,0.9204053712073242,Alistipes_shahii_62199,1,1,Ascending colon,0.8928571428571429,0.956989247311828,0.9302973439717586,0.9108552307837768,Capsule 4
Capsule,2020-08-14,06:50:00,SRR18585089,0.9254784826893659,Alistipes_shahii_62199,1,1,Ascending colon,0.8888888888888888,1.0,0.9434479545019954,0.9068230397912764,Capsule 4
Capsule,2020-08-14,06:50:00,SRR18585090,0.8656278510121667,Alistipes_shahii_62199,1,1,Ascending colon,0.8376623376623377,0.8963414634146342,0.8735099893994469,0.8565648359099758,Capsule 4
Capsule,2020-08-14,23:30:00,SRR18585083,0.9683588348302041,Alistipes_shahii_62199,1,1,Small intestine 2,1.0,1.0,0.9816495032965752,0.9526444401407729,Capsule 2
Capsule,2020-08-14,23:30:00,SRR18585084,0.976980605522904,Alistipes_shahii_62199,1,1,Small intestine 2,1.0,1.0,0.98634246007116,0.9663418091925401,Capsule 2
Capsule,2020-08-14,23:30:00,SRR18585085,0.9847381045269522,Alistipes_shahii_62199,1,1,Small intestine 2,0.979591836734694,1.0,0.9905443601390674,0.978669085786254,Capsule 2
Capsule,2020-06-27,06:55:00,SRR18585099,0.007128630656894042,Alistipes_shahii_62199,2,1,Small intestine 1,0.0,0.0,0.014184092734750629,0.001981763285024154,Capsule 1
Capsule,2020-06-27,06:55:00,SRR18585086,0.01111034443667573,Alistipes_shahii_62199,2,1,Small intestine 2,0.0,0.0,0.021671808166248956,0.002914204545454545,Capsule 2
Capsule,2020-06-27,06:55:00,SRR18585027,0.03149771596455904,Alistipes_shahii_62199,2,1,Small intestine 3,0.0,0.05263157894736836,0.03941441214698335,0.02314947795329253,Capsule 3
Capsule,2020-06-30,06:30:00,SRR18585206,0.04444957818830013,Alistipes_shahii_62199,2,1,Small intestine 3,0.0,0.0714285714285714,0.060636740153854764,0.029947260400194176,Capsule 3
Capsule,2020-07-01,06:30:00,SRR18585176,0.001890950823613623,Alistipes_shahii_62199,2,1,Small intestine 2,0.0,0.0,0.005568413068809949,0.0,Capsule 2
Capsule,2020-07-01,06:30:00,SRR18585187,0.01571505133655524,Alistipes_shahii_62199,2,1,Small intestine 2,0.0,0.0,0.022930816501758308,0.009660510809328986,Capsule 2
Capsule,2020-07-02,07:30:00,SRR18584973,0.030962504637233868,Alistipes_shahii_62199,2,1,Ascending colon,0.0,0.05000000000000005,0.039177491303655235,0.022881901944273145,Capsule 4
Capsule,2020-07-02,07:30:00,SRR18585119,0.021954867843707013,Alistipes_shahii_62199,2,1,Ascending colon,0.0,0.03448275862068961,0.03038899283508805,0.01434464922373647,Capsule 4
Capsule,2020-07-02,07:30:00,SRR18585264,0.027047201482979157,Alistipes_shahii_62199,2,1,Ascending colon,0.0,0.0,0.04199736100797745,0.014595778212487438,Capsule 4
Capsule,2020-08-12,06:55:00,SRR18585092,0.02703959963992059,Alistipes_shahii_62199,2,1,Small intestine 3,0.0,0.0,0.04375971642274098,0.0122000921356765,Capsule 3
Capsule,2020-08-12,06:55:00,SRR18585095,0.038024466489410935,Alistipes_shahii_62199,2,1,Small intestine 3,0.0,0.0,0.05769669398545761,0.018599153577480237,Capsule 3
Capsule,2020-08-13,23:30:00,SRR18585087,0.08207869536774111,Alistipes_shahii_62199,2,1,Small intestine 2,0.0,0.11764705882352945,0.10879635719995592,0.059801802638151325,Capsule 2
Capsule,2020-08-14,06:50:00,SRR18585088,0.0795946287926758,Alistipes_shahii_62199,2,1,Ascending colon,0.043010752688172005,0.1071428571428571,0.08885607637137855,0.07005671935766017,Capsule 4
Capsule,2020-08-14,06:50:00,SRR18585089,0.07452151731063406,Alistipes_shahii_62199,2,1,Ascending colon,0.0,0.11111111111111116,0.0935770191182045,0.057126499276127875,Capsule 4
Capsule,2020-08-14,06:50:00,SRR18585090,0.13437214898783328,Alistipes_shahii_62199,2,1,Ascending colon,0.10365853658536583,0.16233766233766234,0.1427530622709989,0.1258928270893097,Capsule 4
Capsule,2020-08-14,23:30:00,SRR18585083,0.03164116516979605,Alistipes_shahii_62199,2,1,Small intestine 2,0.0,0.0,0.047196870963615314,0.01854345146976919,Capsule 2
Capsule,2020-08-14,23:30:00,SRR18585084,0.023019394477095882,Alistipes_shahii_62199,2,1,Small intestine 2,0.0,0.0,0.03300257978769528,0.013852983941654606,Capsule 2
Capsule,2020-08-14,23:30:00,SRR18585085,0.015261895473047753,Alistipes_shahii_62199,2,1,Small intestine 2,0.0,0.020408163265306145,0.021526690365084904,0.00922082836390928,Capsule 2
Stool,2020-06-26,00:00:00,SRR18585014,0.0442992791317423,Alistipes_shahii_62199,1,2,Stool,0.0,0.1,0.05598357277628991,0.032792505878647786,Stool
Capsule,2020-06-27,06:55:00,SRR18585023,0.03052597537960128,Alistipes_shahii_62199,1,2,Small intestine 3,0.0,0.06779661016949153,0.03820213392553845,0.023295530438423747,Capsule 3
Capsule,2020-06-27,06:55:00,SRR18585022,0.07249752258074035,Alistipes_shahii_62199,1,2,Ascending colon,0.0,0.15384615384615385,0.09437270794221256,0.05175300159114602,Capsule 4
Stool,2020-06-26,00:00:00,SRR18585014,0.9557007208682576,Alistipes_shahii_62199,2,2,Stool,0.9,1.0,0.9677697123443292,0.9426374852148716,Stool
