species,strain,subject,sample_type,sample_type_number,tissue,date,time,timepoint,sample,freq,quantile_25,quantile_75,upper_ci,lower_ci
Alistipes_shahii_62199,2,1,Capsule,Capsule 4,Ascending colon,2020-07-02,07:30:00,4,SRR18584973,0.030962504637233868,0.0,0.05000000000000005,0.039177491303655235,0.022881901944273145
Alistipes_shahii_62199,1,1,Capsule,Capsule 4,Ascending colon,2020-07-02,07:30:00,4,SRR18585119,0.978045132156293,0.9655172413793104,1.0,0.9853068033388452,0.9691852184220002
Alistipes_shahii_62199,2,1,Capsule,Capsule 4,Ascending colon,2020-07-02,07:30:00,4,SRR18585119,0.021954867843707013,0.0,0.03448275862068961,0.03038899283508805,0.01434464922373647
Alistipes_shahii_62199,1,1,Capsule,Capsule 4,Ascending colon,2020-07-02,07:30:00,4,SRR18585264,0.9729527985170208,1.0,1.0,0.9853037465564184,0.9580842226409048
Alistipes_shahii_62199,2,1,Capsule,Capsule 4,Ascending colon,2020-07-02,07:30:00,4,SRR18585264,0.027047201482979157,0.0,0.0,0.04199736100797745,0.014595778212487438
Alistipes_shahii_62199,1,1,Capsule,Capsule 3,Small intestine 3,2020-08-12,06:55:00,5,SRR18585092,0.9729604003600794,1.0,1.0,0.9863384315289114,0.9546490895827656
Alistipes_shahii_62199,2,1,Capsule,Capsule 3,Small intestine 3,2020-08-12,06:55:00,5,SRR18585092,0.02703959963992059,0.0,0.0,0.04375971642274098,0.0122000921356765
Alistipes_shahii_62199,1,1,Capsule,Capsule 3,Small intestine 3,2020-08-12,06:55:00,5,SRR18585095,0.9619755335105892,1.0,1.0,0.9799414375658444,0.9420786315516474
Alistipes_shahii_62199,2,1,Capsule,Capsule 3,Small intestine 3,2020-08-12,06:55:00,5,SRR18585095,0.038024466489410935,0.0,0.0,0.05769669398545761,0.018599153577480237
Alistipes_shahii_62199,1,1,Capsule,Capsule 2,Small intestine 2,2020-08-13,23:30:00,6,SRR18585087,0.917921304632259,0.8823529411764706,1.0,0.9416473019723244,0.8917879133141856
Alistipes_shahii_62199,2,1,Capsule,Capsule 2,Small intestine 2,2020-08-13,23:30:00,6,SRR18585087,0.08207869536774111,0.0,0.11764705882352945,0.10879635719995592,0.059801802638151325
Alistipes_shahii_62199,1,1,Capsule,Capsule 4,Ascending colon,2020-08-14,06:50:00,7,SRR18585088,0.9204053712073242,0.8928571428571429,0.956989247311828,0.9302973439717586,0.9108552307837768
Alistipes_shahii_62199,2,1,Capsule,Capsule 4,Ascending colon,2020-08-14,06:50:00,7,SRR18585088,0.0795946287926758,0.043010752688172005,0.1071428571428571,0.08885607637137855,0.07005671935766017
Alistipes_shahii_62199,1,1,Capsule,Capsule 4,Ascending colon,2020-08-14,06:50:00,7,SRR18585089,0.9254784826893659,0.8888888888888888,1.0,0.9434479545019954,0.9068230397912764
Alistipes_shahii_62199,2,1,Capsule,Capsule 4,Ascending colon,2020-08-14,06:50:00,7,SRR18585089,0.07452151731063406,0.0,0.11111111111111116,0.0935770191182045,0.057126499276127875
Alistipes_shahii_62199,1,1,Capsule,Capsule 4,Ascending colon,2020-08-14,06:50:00,7,SRR18585090,0.8656278510121667,0.8376623376623377,0.8963414634146342,0.8735099893994469,0.8565648359099758
Alistipes_shahii_62199,2,1,Capsule,Capsule 4,Ascending colon,2020-08-14,06:50:00,7,SRR18585090,0.13437214898783328,0.10365853658536583,0.16233766233766234,0.1427530622709989,0.1258928270893097
Alistipes_shahii_62199,1,1,Capsule,Capsule 2,Small intestine 2,2020-08-14,23:30:00,8,SRR18585083,0.9683588348302041,1.0,1.0,0.9816495032965752,0.9526444401407729
Alistipes_shahii_62199,2,1,Capsule,Capsule 2,Small intestine 2,2020-08-14,23:30:00,8,SRR18585083,0.03164116516979605,0.0,0.0,0.047196870963615314,0.01854345146976919
Alistipes_shahii_62199,1,1,Capsule,Capsule 2,Small intestine 2,2020-08-14,23:30:00,8,SRR18585084,0.976980605522904,1.0,1.0,0.98634246007116,0.9663418091925401
Alistipes_shahii_62199,2,1,Capsule,Capsule 2,Small intestine 2,2020-08-14,23:30:00,8,SRR18585084,0.023019394477095882,0.0,0.0,0.03300257978769528,0.013852983941654606
Alistipes_shahii_62199,1,1,Capsule,Capsule 2,Small intestine 2,2020-08-14,23:30:00,8,SRR18585085,0.9847381045269522,0.979591836734694,1.0,0.9905443601390674,0.978669085786254
Alistipes_shahii_62199,2,1,Capsule,Capsule 2,Small intestine 2,2020-08-14,23:30:00,8,SRR18585085,0.015261895473047753,0.0,0.020408163265306145,0.021526690365084904,0.00922082836390928
Anaerostipes_hadrus_55206,1,6,Capsule,Capsule 3,Small intestine 3,2020-08-16,02:00:00,1,SRR18585144,0.0259052197356376,0.0,0.0,0.04283085920307197,0.011749226231994772
Anaerostipes_hadrus_55206,2,6,Capsule,Capsule 3,Small intestine 3,2020-08-16,02:00:00,1,SRR18585144,0.9740947802643622,1.0,1.0,0.9883957603866386,0.9552801060858702
Anaerostipes_hadrus_55206,1,6,Capsule,Capsule 1,Small intestine 1,2020-08-16,22:00:00,2,SRR18585143,0.03130256808023159,0.0,0.0,0.046649904767612604,0.01809710232990654
Anaerostipes_hadrus_55206,2,6,Capsule,Capsule 1,Small intestine 1,2020-08-16,22:00:00,2,SRR18585143,0.9686974319197684,1.0,1.0,0.9817434099587924,0.9539334928469594
Anaerostipes_hadrus_55206,1,6,Capsule,Capsule 2,Small intestine 2,2020-08-16,22:00:00,2,SRR18585142,0.03627423861891132,0.014388489208633115,0.05185185185185183,0.04171949957717578,0.031248145850344636
Anaerostipes_hadrus_55206,2,6,Capsule,Capsule 2,Small intestine 2,2020-08-16,22:00:00,2,SRR18585142,0.9637257613810888,0.9481481481481482,0.9856115107913668,0.969087194240375,0.9580163877674894
Anaerostipes_hadrus_55206,1,6,Capsule,Capsule 3,Small intestine 3,2020-08-16,22:00:00,2,SRR18585140,0.036426390355686775,0.0,0.05555555555555555,0.05069047146853605,0.024092902007611848
Anaerostipes_hadrus_55206,2,6,Capsule,Capsule 3,Small intestine 3,2020-08-16,22:00:00,2,SRR18585140,0.9635736096443132,0.9444444444444444,1.0,0.9762638001735088,0.9487686972169908
Anaerostipes_hadrus_55206,1,6,Capsule,Capsule 4,Ascending colon,2020-08-16,22:00:00,2,SRR18585139,0.038791410576331835,0.0,0.0625,0.05233308380545948,0.027934697716298456
Anaerostipes_hadrus_55206,2,6,Capsule,Capsule 4,Ascending colon,2020-08-16,22:00:00,2,SRR18585139,0.9612085894236679,0.9375,1.0,0.9730587047289032,0.9484757108691076
Anaerostipes_hadrus_55206,1,6,Capsule,Capsule 1,Small intestine 1,2020-08-17,21:30:00,3,SRR18585134,0.024142499722043697,0.0,0.037037037037037035,0.03347404426354025,0.01534163377615821
Anaerostipes_hadrus_55206,2,6,Capsule,Capsule 1,Small intestine 1,2020-08-17,21:30:00,3,SRR18585134,0.9758575002779564,0.962962962962963,1.0,0.9838106303411416,0.9662994223597144
Anaerostipes_hadrus_55206,1,6,Capsule,Capsule 2,Small intestine 2,2020-08-17,21:30:00,3,SRR18585133,0.028678565352943625,0.0,0.03448275862068965,0.042646399693885784,0.017606980054317347
Anaerostipes_hadrus_55206,2,6,Capsule,Capsule 2,Small intestine 2,2020-08-17,21:30:00,3,SRR18585133,0.9713214346470566,0.9655172413793104,1.0,0.9822138341947608,0.9598230319037026
Anaerostipes_hadrus_55206,1,6,Capsule,Capsule 3,Small intestine 3,2020-08-17,21:30:00,3,SRR18585132,0.0345448864109571,0.0,0.05555555555555555,0.04433812292725869,0.02536429831679846
Anaerostipes_hadrus_55206,2,6,Capsule,Capsule 3,Small intestine 3,2020-08-17,21:30:00,3,SRR18585132,0.9654551135890428,0.9444444444444444,1.0,0.97362227101801,0.955117954065104
Anaerostipes_hadrus_55206,1,6,Capsule,Capsule 1,Small intestine 1,2020-08-18,04:15:00,4,SRR18585138,0.020140441921611484,0.0,0.03225806451612903,0.02466274932017911,0.015629521231961204
Anaerostipes_hadrus_55206,2,6,Capsule,Capsule 1,Small intestine 1,2020-08-18,04:15:00,4,SRR18585138,0.9798595580783884,0.967741935483871,1.0,0.9843065984778464,0.9754538105999122
Anaerostipes_hadrus_55206,1,6,Capsule,Capsule 2,Small intestine 2,2020-08-18,04:15:00,4,SRR18585137,0.026278282132217827,0.0,0.04,0.034266089501295456,0.01919732559824252
Anaerostipes_hadrus_55206,2,6,Capsule,Capsule 2,Small intestine 2,2020-08-18,04:15:00,4,SRR18585137,0.9737217178677822,0.96,1.0,0.980966428505932,0.966058054909555
Anaerostipes_hadrus_55206,1,6,Capsule,Capsule 3,Small intestine 3,2020-08-18,04:15:00,4,SRR18585136,0.03145372487723598,0.0,0.0,0.048376164586811,0.017472293664543892
Anaerostipes_hadrus_55206,2,6,Capsule,Capsule 3,Small intestine 3,2020-08-18,04:15:00,4,SRR18585136,0.9685462751227641,1.0,1.0,0.982961121113076,0.9510004275108448
Anaerostipes_hadrus_55206,1,6,Capsule,Capsule 4,Ascending colon,2020-08-18,04:15:00,4,SRR18585135,0.02558702280561615,0.0,0.0,0.041465617716520416,0.012142656086127196
Anaerostipes_hadrus_55206,2,6,Capsule,Capsule 4,Ascending colon,2020-08-18,04:15:00,4,SRR18585135,0.974412977194384,1.0,1.0,0.9872798434136668,0.9588889680729744
Anaerostipes_hadrus_55206,1,6,Capsule,Capsule 1,Small intestine 1,2020-08-19,05:00:00,5,SRR18585131,0.0467052150840998,0.02895055687590292,0.06122448979591835,0.05139086891562838,0.042275528080189965
Anaerostipes_hadrus_55206,2,6,Capsule,Capsule 1,Small intestine 1,2020-08-19,05:00:00,5,SRR18585131,0.9532947849159,0.9387755102040816,0.971049443124097,0.9580460688516648,0.948936070062396
Anaerostipes_hadrus_55206,1,6,Capsule,Capsule 2,Small intestine 2,2020-08-19,05:00:00,5,SRR18585129,0.02484223853519761,0.0,0.0,0.03569708002373444,0.01395569916194916
Anaerostipes_hadrus_55206,2,6,Capsule,Capsule 2,Small intestine 2,2020-08-19,05:00:00,5,SRR18585129,0.9751577614648024,1.0,1.0,0.9855246652652904,0.9623059552483121
Anaerostipes_hadrus_55206,1,6,Capsule,Capsule 3,Small intestine 3,2020-08-19,05:00:00,5,SRR18585128,0.06139808046431852,0.0410958904109589,0.07942238267148015,0.0670462914445867,0.05550568293211892
Anaerostipes_hadrus_55206,2,6,Capsule,Capsule 3,Small intestine 3,2020-08-19,05:00:00,5,SRR18585128,0.9386019195356814,0.9205776173285198,0.9589041095890412,0.9444116210739508,0.9327592289564706
Anaerostipes_hadrus_55206,1,8,Capsule,Capsule 2,Small intestine 2,2020-08-16,01:00:00,1,SRR18585065,0.06446744023172571,0.028571428571428567,0.09278350515463918,0.07329907412172275,0.05521768344280442
Anaerostipes_hadrus_55206,2,8,Capsule,Capsule 2,Small intestine 2,2020-08-16,01:00:00,1,SRR18585065,0.9355325597682744,0.9072164948453608,0.9714285714285714,0.9441204567623964,0.9267951395927448
Anaerostipes_hadrus_55206,1,8,Capsule,Capsule 1,Small intestine 1,2020-08-16,22:12:00,2,SRR18585064,0.05102665301319672,0.0,0.08108108108108103,0.06337164449839415,0.039450396576251455
Anaerostipes_hadrus_55206,2,8,Capsule,Capsule 1,Small intestine 1,2020-08-16,22:12:00,2,SRR18585064,0.9489733469868032,0.9189189189189191,1.0,0.9610881368655224,0.9360698157831114
Anaerostipes_hadrus_55206,1,8,Capsule,Capsule 3,Small intestine 3,2020-08-17,22:12:00,3,SRR18585062,0.05524357632228581,0.0,0.08333333333333333,0.07533014416032023,0.036680652373870255
Anaerostipes_hadrus_55206,2,8,Capsule,Capsule 3,Small intestine 3,2020-08-17,22:12:00,3,SRR18585062,0.9447564236777142,0.9166666666666666,1.0,0.9643281528451396,0.9244182906281662
Anaerostipes_hadrus_55206,1,8,Capsule,Capsule 1,Small intestine 1,2020-08-18,05:00:00,4,SRR18585061,0.0308033421337347,0.0,0.040000000000000036,0.04415536835236172,0.01980907685514556
Anaerostipes_hadrus_55206,2,8,Capsule,Capsule 1,Small intestine 1,2020-08-18,05:00:00,4,SRR18585061,0.9691966578662652,0.96,1.0,0.9816154871780992,0.9565909530278344
Anaerostipes_hadrus_55206,1,8,Capsule,Capsule 2,Small intestine 2,2020-08-18,05:00:00,4,SRR18585059,0.01300796254517532,0.0,0.0,0.02140291927393648,0.006057025238233648
Anaerostipes_hadrus_55206,2,8,Capsule,Capsule 2,Small intestine 2,2020-08-18,05:00:00,4,SRR18585059,0.9869920374548248,1.0,1.0,0.9941668877791848,0.9786990721990764
Anaerostipes_hadrus_55206,1,8,Capsule,Capsule 3,Small intestine 3,2020-08-18,05:00:00,4,SRR18585058,0.014393369313638675,0.0,0.0,0.02107001784677965,0.008330446451397962
Anaerostipes_hadrus_55206,2,8,Capsule,Capsule 3,Small intestine 3,2020-08-18,05:00:00,4,SRR18585058,0.9856066306863612,1.0,1.0,0.9912217629759856,0.9787804729616456
Anaerostipes_hadrus_55206,1,8,Capsule,Capsule 4,Ascending colon,2020-08-18,05:00:00,4,SRR18585057,0.011118098815233728,0.0,0.0,0.016640514083190498,0.00662320074616396
Anaerostipes_hadrus_55206,2,8,Capsule,Capsule 4,Ascending colon,2020-08-18,05:00:00,4,SRR18585057,0.9888819011847664,1.0,1.0,0.9934303536544776,0.9836481785032444
Anaerostipes_hadrus_55206,1,8,Capsule,Capsule 4,Ascending colon,2020-08-18,22:00:00,5,SRR18585221,0.04433122709021474,0.0,0.07142857142857142,0.06010893974183654,0.0291794769147691
Anaerostipes_hadrus_55206,2,8,Capsule,Capsule 4,Ascending colon,2020-08-18,22:00:00,5,SRR18585221,0.9556687729097852,0.9285714285714286,1.0,0.9709552585292732,0.9388212140579152
Anaerostipes_hadrus_55206,1,8,Capsule,Capsule 3,Small intestine 3,2020-08-19,05:15:00,6,SRR18585218,0.0013819106915870336,0.0,0.0019047619047618664,0.0018682441270379039,0.0009586947449492238
Anaerostipes_hadrus_55206,2,8,Capsule,Capsule 3,Small intestine 3,2020-08-19,05:15:00,6,SRR18585218,0.998618089308413,0.998095238095238,1.0,0.9989932400167236,0.998134520493999
Anaerostipes_hadrus_55206,1,8,Capsule,Capsule 4,Ascending colon,2020-08-19,05:15:00,6,SRR18585216,0.08982474240930086,0.0,0.15384615384615385,0.11278759427510138,0.0687214200472157
Anaerostipes_hadrus_55206,2,8,Capsule,Capsule 4,Ascending colon,2020-08-19,05:15:00,6,SRR18585216,0.9101752575906992,0.8461538461538461,1.0,0.9311880982803792,0.8856321065704295
Anaerostipes_hadrus_55206,1,9,Capsule,Capsule 4,Ascending colon,2020-08-24,07:40:00,1,SRR18585203,0.8873081578629869,0.8,1.0,0.9098422935051418,0.863942366877992
Anaerostipes_hadrus_55206,2,9,Capsule,Capsule 4,Ascending colon,2020-08-24,07:40:00,1,SRR18585203,0.1126918421370132,0.0,0.2,0.13669795742066784,0.08725850472412006
Anaerostipes_hadrus_55206,1,9,Capsule,Capsule 2,Small intestine 2,2020-08-25,07:00:00,2,SRR18585006,0.9575074138063144,0.9285714285714286,1.0,0.970663228213228,0.9433315664756168
Anaerostipes_hadrus_55206,2,9,Capsule,Capsule 2,Small intestine 2,2020-08-25,07:00:00,2,SRR18585006,0.042492586193685664,0.0,0.0714285714285714,0.05712378314289001,0.02884035383813289
Anaerostipes_hadrus_55206,1,9,Capsule,Capsule 2,Small intestine 2,2020-08-25,23:45:00,3,SRR18585201,0.9635714786418704,0.9411764705882352,1.0,0.9758013360518584,0.9510644397300496
Anaerostipes_hadrus_55206,2,9,Capsule,Capsule 2,Small intestine 2,2020-08-25,23:45:00,3,SRR18585201,0.036428521358129635,0.0,0.058823529411764726,0.05002701060517607,0.022938533632065126
Anaerostipes_hadrus_55206,1,9,Capsule,Capsule 3,Small intestine 3,2020-08-25,23:45:00,3,SRR18585200,0.8679705720859671,0.7857142857142857,1.0,0.8899170405483382,0.8432830586038309
Anaerostipes_hadrus_55206,2,9,Capsule,Capsule 3,Small intestine 3,2020-08-25,23:45:00,3,SRR18585200,0.13202942791403302,0.0,0.2142857142857143,0.1557811796228442,0.10814244989576403
Anaerostipes_hadrus_55206,1,11,Capsule,Capsule 4,Ascending colon,2020-09-13,23:45:00,1,SRR18585038,0.1312742931856861,0.037037037037037035,0.2,0.15529635545742038,0.10747656724193662
Anaerostipes_hadrus_55206,2,11,Capsule,Capsule 4,Ascending colon,2020-09-13,23:45:00,1,SRR18585038,0.8687257068143138,0.8,0.962962962962963,0.8911058053255341,0.8444721970806373
Anaerostipes_hadrus_55206,1,11,Capsule,Capsule 1,Small intestine 1,2020-09-14,19:30:00,2,SRR18585033,0.2080592402068173,0.07142857142857142,0.3333333333333333,0.2417934663575532,0.1728203956659675
Anaerostipes_hadrus_55206,2,11,Capsule,Capsule 1,Small intestine 1,2020-09-14,19:30:00,2,SRR18585033,0.7919407597931828,0.6666666666666667,0.9285714285714286,0.8250518831540874,0.7602496035594629
Anaerostipes_hadrus_55206,1,11,Capsule,Capsule 2,Small intestine 2,2020-09-15,04:15:00,3,SRR18585195,0.13521375633861332,0.0,0.21428571428571427,0.1643687345083014,0.11023451055516256
Anaerostipes_hadrus_55206,2,11,Capsule,Capsule 2,Small intestine 2,2020-09-15,04:15:00,3,SRR18585195,0.8647862436613868,0.7857142857142857,1.0,0.8887841009065839,0.8410038583935671
Anaerostipes_hadrus_55206,1,11,Capsule,Capsule 4,Ascending colon,2020-09-15,06:45:00,4,SRR18585034,0.5228397919288407,0.3333333333333333,0.75,0.5795093363523802,0.4659384138677078
Anaerostipes_hadrus_55206,2,11,Capsule,Capsule 4,Ascending colon,2020-09-15,06:45:00,4,SRR18585034,0.4771602080711593,0.25,0.6666666666666667,0.5292351895011818,0.4238638585145601
Anaerostipes_hadrus_55206,1,11,Capsule,Capsule 3,Small intestine 3,2020-09-16,04:15:00,5,SRR18585194,0.0995204936133682,0.0,0.17391304347826084,0.1237401744496912,0.07643252790752578
Anaerostipes_hadrus_55206,2,11,Capsule,Capsule 3,Small intestine 3,2020-09-16,04:15:00,5,SRR18585194,0.9004795063866319,0.8260869565217391,1.0,0.9225840857304964,0.8784599041079423
